SeriesID,SiteName,VariableName,LocalDateTime,DataValue,VarUnits,DataType,SiteID,SiteCode,VariableID,VariableCode,Organization,SourceDescription,SourceLink,ValueType,TimeSupport,TimeUnits,IsRegular,NoDataValue,UTCOffset,DateTimeUTC,Latitude,Longitude,ValueAccuracy,CensorCode,MethodDescription,QualityControlLevelCode,SampleMedium,GeneralCategory
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/1/2009 0:00,0.73,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/1/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/2/2009 0:00,0.71,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/2/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/3/2009 0:00,0.89,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/3/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/4/2009 0:00,1.9,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/4/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/5/2009 0:00,1.3,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/5/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/6/2009 0:00,0.98,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/6/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/7/2009 0:00,0.88,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/7/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/8/2009 0:00,0.82,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/8/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/9/2009 0:00,4.9,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/9/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,10/10/2009 0:00,3.8,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,10/10/2009 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
