date,value
8/1/2010,20.7
8/2/2010,20.7
8/3/2010,20.7
8/4/2010,20.7
8/5/2010,20.7
8/6/2010,20.7
8/7/2010,20.7
8/8/2010,20.7
8/9/2010,20.7
8/10/2010,20.7
8/11/2010,20.7
8/12/2010,20.7
8/13/2010,20.7
8/14/2010,20.7
8/15/2010,20.7
8/16/2010,20.7
8/17/2010,20.7
8/18/2010,20.7
8/19/2010,20.7
8/20/2010,20.7
8/21/2010,20.7
8/22/2010,20.7
8/23/2010,20.7
8/24/2010,20.7
8/25/2010,20.7
8/26/2010,20.7
8/27/2010,20.7
8/28/2010,20.7
8/29/2010,20.7
8/30/2010,20.7
8/31/2010,20.7
9/1/2010,20.7
9/2/2010,20.7
9/3/2010,20.7
9/4/2010,20.7
9/5/2010,20.7
9/6/2010,20.7
9/7/2010,20.7
9/8/2010,21.3
9/9/2010,21.3
9/10/2010,21.2
9/11/2010,21.3
9/12/2010,21.4
9/13/2010,21.5
9/14/2010,21.5
9/15/2010,21.5
9/16/2010,21.5
9/17/2010,21.4
9/18/2010,21.4
9/19/2010,21.4
9/20/2010,21.4
9/21/2010,21.4
9/22/2010,21.4
9/23/2010,21.4
9/24/2010,21.3
9/25/2010,21.3
9/26/2010,21.3
9/27/2010,21.3
9/28/2010,21.3
9/29/2010,21.2
9/30/2010,21.2
